"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"Fond 1","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","91,61","1810,71","1256","1552,59","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","76,95","1767,47","1310,36","1552,55","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","49,61","1691,15","1418,33","1552,43","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","114,76","1876,05","1174,38","1548,83","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","95,27","1815,13","1245,16","1548,75","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","59,45","1719,17","1380,86","1548,55","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","136,36","1943,46","1102,99","1547,5","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","112,1","1862,07","1189,3","1547,38","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","68,08","1744,85","1349,51","1547,08","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","156,66","2010,34","1039,05","1547,09","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","127,66","1912,58","1141,08","1546,95","13,55"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","75,67","1768,96","1322,81","1546,55","13,55"
"Fond 2","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","70,31","1737,07","1291,1","1503,16","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","60,45","1703,34","1311,63","1502,97","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","41,5","1637,49","1371,45","1502,48","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","87,49","1803,32","1245,76","1504,1","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","74,31","1755,01","1270,84","1503,84","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","49,41","1665,7","1343,7","1503,19","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","103,19","1865,74","1207,48","1504,37","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","86,72","1805,08","1236,48","1504,05","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","56,07","1688,85","1321,52","1503,24","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","117,84","1924,23","1175,18","1504,57","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","98,12","1850,88","1206,97","1504,18","13,53"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","61,88","1707,61","1302,18","1503,22","13,53"
"Fond 3","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","64,6","1762,53","1317,94","1510,38","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","55,09","1717,31","1349,72","1510,43","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","37,62","1630,15","1403,64","1510,52","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","80,57","1837,67","1272,7","1511,33","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","67,78","1776,93","1312,81","1511,38","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","44,46","1660,63","1387,61","1511,5","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","95,29","1905,58","1230,99","1511,2","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","79,25","1829,59","1279,37","1511,25","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","50,24","1685,49","1373,03","1511,38","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","109,08","1969,82","1193,54","1510,9","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","89,84","1878,44","1248,9","1510,94","13,52"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","55,28","1708,17","1359,62","1511,07","13,52"
"Fond Foie","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","149,22","4390,84","3288,31","3791,62","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","126,02","4272,64","3368,6","3791,5","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","82,64","4060,12","3534,81","3790,64","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","187,26","4550,73","3164,24","3790,91","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","156,25","4393,78","3265,74","3790,76","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","99,02","4114,99","3478,88","3789,7","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","222,45","4699,95","3057,55","3792,34","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","183,64","4502,9","3178,2","3792,19","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","112,71","4159,98","3435,38","3790,99","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","255,59","4840,65","2961,38","3794,05","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","209,06","4604,44","3099,18","3793,9","13,59"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","124,75","4198,76","3397,94","3792,6","13,59"
"T Foie","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1080,47","9551,11","4527,11","7416,76","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","958,89","9062,07","4575,47","7183,75","0,25"
