"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","654,05","7755,91","4638,52","6523,5","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1335,48","10637,46","4513,02","7972,97","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1177,56","10020,19","4582,3","7691,32","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","787,88","8393,78","4682,98","6899,11","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","1529,02","11417,15","4475,3","8354,19","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1342,35","10703,67","4562,95","8036,52","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","886,65","8836,24","4696,98","7147,86","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1675,96","11981,64","4430,98","8623,9","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1466,9","11198,14","4535,56","8279,09","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","960,39","9150,95","4698,44","7318,86","0,25"
"T Rachis","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1536,77","8045,97","1871,27","4698,13","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1307,8","7194,29","1924,28","4443,73","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","791,99","5249,12","1996,73","3744,7","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2013,91","10058,35","1872,01","5490,15","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1697,15","8871,48","1968,59","5163,15","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","998,9","6232,71","2162,76","4272,84","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2336,73","11411,93","1846,15","5989,78","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1957,41","9989,23","1959,49","5613,43","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","1132,54","6862,93","2243,78","4594,76","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","2548,54","12286,2","1810,26","6304,05","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2126,79","10711,16","1935,34","5894,4","0,23"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1217,63","7262,65","2257,48","4790,68","0,23"
"T1","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","2374,84","12901,36","2453,5","6514,76","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","2025,7","11463,76","2505,81","6175,9","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","1228,58","8163,16","2606,77","5214,24","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2720,87","14265,66","2489,5","6927,82","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","2309,67","12610,11","2551,08","6551,14","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","1380,29","8817,1","2671,64","5485,83","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2923,25","14974,28","2424,75","7149,76","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","2475,64","13223,19","2496,85","6750,84","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","1468,73","9175,02","2679,99","5626,15","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","3046,61","15334,32","2373,15","7284,02","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2577,22","13558,16","2451,07","6870,55","0,34"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1523,8","9386,85","2653,99","5708,12","0,34"
"T2","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1880,71","8668,81","1237,42","3734,27","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1618,9","7628,54","1266,56","3584,71","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","1022,18","5372,25","1364,1","3160,06","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2208","10053,63","1237,01","3998,71","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1883,34","8730,56","1267,71","3825,39","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","1161,22","5939,43","1373,54","3337,48","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2422,92","10976,35","1249,27","4157,71","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","2053,47","9454,32","1280,59","3969,03","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","1245,93","6293,44","1387,59","3440,58","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","2568,85","11601,1","1270,79","4260,73","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2166,76","9940,86","1300,41","4061,7","0,25"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1299,9","6525,4","1404,79","3506,12","0,25"
"T3","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","882,84","5973,75","1878,84","3540,46","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","710,55","5183,68","1925,55","3355,8","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","371,23","3687,32","1992,21","2865,87","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1121,87","7105,56","1864,6","3848,79","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","889,13","6012,87","1929,13","3626,39","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","444,12","4047,43","2033,29","3040,59","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","1321,39","8056,59","1831,13","4062,18","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1034,94","6681,75","1910,47","3811,56","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","500,28","4307,25","2047,79","3154,07","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1489,77","8874","1795,06","4218,74","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1155,77","7238,21","1885,62","3946,47","0,19"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","544,41","4503,81","2051,7","3233,87","0,19"
"T4","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","397,92","3321,35","2059,84","2708,16","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","320,75","3061,96","2070,93","2599,61","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","173,49","2539,55","2033,45","2323,27","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","494,41","3662,54","2065,27","2865,61","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","392,67","3323,99","2086,34","2733,54","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","204,09","2672,77","2059,74","2405,8","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","575,6","3931,32","2051,21","2974,06","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","451,31","3519,48","2082,03","2822,24","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","226,62","2755,59","2067,39","2453","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","647,39","4161,88","2032,5","3059,43","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","501,79","3680,2","2072,51","2890,17","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","244,5","2815,72","2069,55","2485,37","0,06"
