"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","506,51","4161,88","2222,46","3244,22","0,07"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","382,49","3680,2","2182,72","3036,86","0,07"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","174,97","2815,72","2074,01","2559,58","0,07"
"T2 - 6 mm","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","730,51","5973,75","2443,18","4110,2","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","561,51","5183,68","2418,84","3822,57","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","264,41","3687,32","2294,97","3115,79","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","965,19","7105,56","2495,56","4559,06","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","726,92","6012,87","2482,19","4202,31","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","323,86","4047,43","2367,66","3337,5","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","1171,15","8056,59","2504,42","4884,6","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","868,42","6681,75","2501,75","4473,63","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","371,45","4307,25","2401,69","3486,13","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1352,07","8874","2495,36","5132,01","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","990,08","7238,21","2502,58","4677,88","0,1"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","409,87","4503,81","2417,54","3592,98","0,1"
"T3 - 8 mm","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1490,47","8668,81","2063,28","4899,6","0,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1227,71","7628,54","2204,25","4622,1","0,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","689,52","5372,25","2363,32","3850,48","0,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1816,14","10053,63","2036,99","5327,49","0,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1479,4","8730,56","2217,87","5007,8","0,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","803,61","5939,43","2443,1","4118,97","0,26"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2043,3","10976,35","1991,78","5581,98","0,26"
