"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","635,38","4115,13","1531,69","3195,3","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","261,12","2580,49","1449,53","2238,06","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1032,25","5498,45","1503,34","3968,92","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","736,71","4520,59","1571,83","3452,19","0,06"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","290,99","2752,71","1507,71","2370,74","0,06"
"T2 - 6 mm","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1018,18","6849,04","2290,99","4529,29","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","794,21","5904,39","2316,47","4182,2","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","394,46","4065,35","2174,66","3321,07","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1298,3","8124,26","2396,91","5064,64","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","991,93","6858,58","2453,88","4641,81","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","461,15","4503,69","2335,71","3605,31","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","1519,62","9078,07","2429,44","5404,57","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1144,47","7542,38","2516,5","4928,79","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","508,86","4780,31","2425,52","3771,09","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1700,86","9837,83","2429,39","5638,8","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1267,22","8067,35","2542,88","5123,77","0,12"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","545,13","4971,42","2473,46","3877,17","0,12"
"T3 - 8 mm","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1729,85","9905,02","2632,4","5506,42","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1418,8","8658,47","2711,99","5203,05","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","777,26","6056,3","2799,29","4354,44","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2086,66","11410,55","2575,89","5915,67","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1693,23","9816,98","2690,24","5571,92","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","898,53","6606,7","2866,1","4609,81","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2341,11","12476,67","2486,41","6147,87","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1886,1","10611,46","2629,72","5779,68","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","979,59","6947,53","2865,23","4747,5","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","2531,7","13279,71","2394,06","6293,44","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2028,84","11195,64","2562,44","5909,04","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1037,41","7179,1","2847,02","4829,92","0,27"
"T4 - 10 mm","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","2534,48","13990,03","2487,22","6191,54","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","2182,03","12397,34","2578,46","5935,91","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","1362,94","8782,11","2737,01","5152,66","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2836,87","15370,97","2426,08","6516,82","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","2433,05","13556,71","2540,62","6240,32","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","1501,05","9453,61","2755,32","5391,45","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2999,59","16049,24","2374,79","6684,05","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","2568,03","14143,38","2506,53","6395,97","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","1575,21","9807,23","2758,23","5511,57","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","3091,86","16364,56","2338,44","6782,99","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2644,86","14440,6","2482,8","6487,42","0,53"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1618,18","10007,75","2761,29","5581,11","0,53"
"Rachis - 8mm","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1857,61","10474,57","1906,5","5457,31","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1555,48","9166,47","1977,57","5138,02","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","917,5","6341,52","2055,09","4241,47","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","2454,88","13319,4","1940,39","6417,41","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","2028,27","11470,73","2055,62","6013,55","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","1148,56","7604,35","2213,17","4878,86","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","2863,6","15217,88","1916,76","7005,4","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","2346,64","12989,1","2067,89","6546,87","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","1296,67","8400,14","2291,45","5257,29","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","3140","16447,24","1873,16","7373,34","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","2559,17","13971,15","2053,16","6878,73","0,27"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1392,05","8906,05","2330,16","5487,21","0,27"
"Foie - 8 mm","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1210,29","11315,35","6034,59","8503,93","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","1050,44","10649,83","6073,49","8233,32","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","676,55","8959,59","5989,04","7458,47","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1513,16","12735,94","6081,37","9162,87","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","1302,64","11880,55","6160,37","8836,25","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","820,26","9748,2","6120,86","7904,66","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","1747,27","13782,23","6041,27","9615,87","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","1495,5","12778,32","6160,94","9248,13","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","926,98","10304,14","6175,11","8202,08","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1927,33","14606,41","5959,97","9935,67","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1642,53","13437,42","6119,67","9537,61","0,28"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1006,79","10704,04","6188,86","8407,14","0,28"
"Reins","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","516,68","15216,09","11671,92","13560,55","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","466,19","14811,79","11770,33","13562,65","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","375,75","14446,69","12029,78","13565,04","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","577,95","15664,27","11372,7","13437,09","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","507,51","15082,52","11665,16","13440,75","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","383,94","14248,18","11973,13","13449,11","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","642,54","16098,51","11099,53","13378,98","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","552,5","15375,29","11456,7","13382,87","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","397,67","14299,11","11916,03","13392,58","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","706,75","16518,65","10879,64","13354,42","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","597,45","15654,06","11289,95","13358","12,73"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","412,53","14352,08","11861,47","13367,16","12,73"
"CQ Tumeurs","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","964","21907,18","17029,26","18869,28","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","888,84","21454,96","17166,72","18843,43","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","731,35","20405,85","15845,4","18656,25","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1005,09","22051,56","16572,57","18603,4","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","924,49","21591,28","16848,31","18602,82","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","728,96","20279,31","16063,4","18479,9","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","997,91","22044,33","16180,88","18441,97","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","914,86","21574,68","16491,83","18458,42","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","713,01","20151,35","16155,76","18378,71","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","987,97","22003,57","15953,4","18341,17","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","901,06","21541,1","16287,68","18369,94","16,78"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","697,94","20066,33","16184,97","18321,83","16,78"
