"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","1007,91","7179,1","3527,39","5435,52","0,12"
"T3","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","853,18","6849,04","3812,2","5635,31","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","636,59","5904,39","3572,68","5029,31","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","291,84","4065,35","2924,46","3708,41","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1133,63","8124,26","4158,32","6489,53","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","822,52","6858,58","3890,8","5712,93","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","346,58","4503,69","3147,7","4069,57","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","1368,13","9078,07","4261,53","7081,08","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","973,36","7542,38","4063,86","6172,32","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","387,08","4780,31","3271,13","4289,32","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1568,64","9837,83","4281,5","7521,54","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1099,02","8067,35","4162,21","6505,98","0,03"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","418,59","4971,42","3345,51","4435,88","0,03"
"T4","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","250,52","3346,34","2539,87","2925,68","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","184,36","2892,69","2300,51","2592,09","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","88,33","1992,82","1736,87","1878,18","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","361,52","4243,47","3090,75","3630,45","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","253,91","3587,95","2768,3","3162,68","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","105,94","2340,04","2018,83","2192,24","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","467,65","4945,1","3478,66","4157,79","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","317,82","4115,13","3096,85","3580,24","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","119,83","2580,49","2209,04","2406,95","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","566,7","5498,45","3752,33","4556,91","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","376,05","4520,59","3329,49","3890,41","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","131,66","2752,71","2339,96","2557,75","0,02"
