"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","5i5s_G4","671,98","5223,49","1906,24","3808,11","0,28"
"","6i5s_G0","1770,44","8278,05","815,52","4875,16","0,28"
"","6i5s_G2","1230,74","6829,58","2043,74","4607,53","0,28"
"","6i5s_G4","682,72","5290,42","1893,74","3851,63","0,28"
"","3i5s_G0","1230","6434,01","1565,79","4296,25","0,28"
"Foie - 8 mm","3i5s_G2","1641,31","9761,5","3602,64","6199,36","0,28"
"","3i5s_G4","988,82","7470,19","3970,11","5733,7","0,28"
"","4i5s_G0","2421,91","12689,06","3006,13","6593,23","0,28"
"","4i5s_G2","1889,51","10635,22","3534,01","6421,71","0,28"
"","4i5s_G4","1098,57","7901","3976,46","5905,23","0,28"
"","5i5s_G0","2421,91","12689,06","3006,13","6593,23","0,28"
"","5i5s_G2","1889,51","10635,22","3534,01","6421,71","0,28"
"","5i5s_G4","1164,54","8149,75","3974,83","5991,1","0,28"
"","6i5s_G0","2935,71","14463,55","2394,34","6773,18","0,28"
"","6i5s_G2","2191,71","11763,99","3283,37","6591,36","0,28"
"","6i5s_G4","1206,19","8298,79","3971,67","6036,07","0,28"
"","3i5s_G0","2046,45","11297,38","3322,64","6354,67","0,28"
"Reins","3i5s_G2","1104,03","15306,72","7656,68","11017,91","12,69"
"","3i5s_G4","599,35","13017,71","9221,58","11018,9","12,69"
"","4i5s_G0","1893,25","18885,48","5906,08","10948,53","12,69"
"","4i5s_G2","1297,95","16097,31","7187,28","10949,82","12,69"
"","4i5s_G4","642,99","13207,56","9062,7","10956,44","12,69"
"","5i5s_G0","1893,25","18885,48","5906,08","10948,53","12,69"
"","5i5s_G2","1297,95","16097,31","7187,28","10949,82","12,69"
"","5i5s_G4","684,06","13362,81","8948,84","10927,32","12,69"
"","6i5s_G0","2462,96","22357,26","4821,69","10900,89","12,69"
"","6i5s_G2","1617,12","17557,52","6513,72","10903,31","12,69"
"","6i5s_G4","718,1","13480,44","8866,81","10913,95","12,69"
"","3i5s_G0","1558,72","17088,45","6675,18","11018,35","12,69"
"CQ Tumeurs","3i5s_G2","568,95","17401,18","13089,06","15413,44","16,76"
"","3i5s_G4","448,87","16195,53","12451,54","15245,43","16,76"
"","4i5s_G0","975,23","19298,39","12131,6","15414,24","16,76"
"","4i5s_G2","646,92","17682,2","12966,13","15375,46","16,76"
"","4i5s_G4","454,8","16197,63","12455,1","15212,55","16,76"
"","5i5s_G0","975,23","19298,39","12131,6","15414,24","16,76"
"","5i5s_G2","646,92","17682,2","12966,13","15375,46","16,76"
"","5i5s_G4","464,74","16252,09","12446,8","15205,4","16,76"
"","6i5s_G0","1227,46","20356,09","11306,29","15408,8","16,76"
"","6i5s_G2","769,32","18246,24","12747,02","15368,53","16,76"
"","6i5s_G4","471,33","16297,4","12440,72","15204,43","16,76"
"","3i5s_G0","821,17","18660,5","12673,54","15453,03","16,76"
