Itérations,Gaussien (mm),Contour,Déviation standard (BQML),Moyenne (BQML),Volume (ml)
3,0,Fond 1,506.63,1665.09,13.97
3,0,Fond 2,429.64,1599.97,13.97
3,0,Fond 3,410.81,1587.96,13.98
3,0,Fond Foie,857.85,4033.44,13.95
3,0,Moyenne Fond,449.02666666666664,1617.6733333333334,13.973333333333334
3,0,T Foie,2392.82,6798.61,0.28
3,0,T Rachis,1656.82,3955.13,0.18
3,0,T1,2659.0,6959.7,0.18
3,0,T2,1744.45,6105.87,0.09
3,0,T3,1148.45,4027.11,0.07
3,0,T4,425.09,2613.86,0.03
3,2,Fond 1,350.19,1665.61,13.97
3,2,Fond 2,305.94,1598.02,13.97
3,2,Fond 3,289.29,1585.15,13.98
3,2,Fond Foie,616.99,4034.96,13.95
3,2,Moyenne Fond,315.14000000000004,1616.26,13.973333333333334
3,2,T Foie,1929.89,6641.45,0.28
3,2,T Rachis,1412.68,3794.15,0.18
3,2,T1,2083.55,6539.98,0.18
3,2,T2,1104.71,5624.51,0.09
3,2,T3,868.64,3790.59,0.07
3,2,T4,279.07,2534.76,0.03
3,4,Fond 1,175.78,1665.09,13.97
3,4,Fond 2,163.06,1594.7,13.97
3,4,Fond 3,155.35,1581.42,13.98
3,4,Fond Foie,325.68,4038.79,13.95
3,4,Moyenne Fond,164.73,1613.7366666666667,13.973333333333334
3,4,T Foie,1145.29,6209.72,0.28
3,4,T Rachis,931.68,3329.13,0.18
3,4,T1,1129.63,5435.46,0.18
3,4,T2,498.13,4456.0,0.09
3,4,T3,399.13,3147.03,0.07
3,4,T4,94.81,2294.65,0.03
4,0,Fond 1,640.43,1657.51,13.97
4,0,Fond 2,539.6,1604.85,13.97
4,0,Fond 3,518.09,1592.48,13.98
4,0,Fond Foie,1082.78,4038.22,13.95
4,0,Moyenne Fond,566.04,1618.28,13.973333333333334
4,0,T Foie,2849.71,7077.2,0.28
4,0,T Rachis,1890.0,4288.86,0.18
4,0,T1,2896.36,7095.64,0.18
4,0,T2,2093.67,6340.32,0.09
4,0,T3,1328.41,4181.85,0.07
4,0,T4,573.86,2653.54,0.03
4,2,Fond 1,430.55,1658.33,13.97
4,2,Fond 2,373.62,1602.47,13.97
4,2,Fond 3,354.01,1588.97,13.98
4,2,Fond Foie,760.78,4040.32,13.95
4,2,Moyenne Fond,386.06,1616.5900000000001,13.973333333333334
4,2,T Foie,2255.36,6899.19,0.28
4,2,T Rachis,1581.05,4101.31,0.18
4,2,T1,2227.47,6659.15,0.18
4,2,T2,1272.1,5818.6,0.09
4,2,T3,984.24,3931.1,0.07
4,2,T4,361.76,2573.09,0.03
4,4,Fond 1,201.87,1658.12,13.97
4,4,Fond 2,187.69,1598.45,13.97
4,4,Fond 3,178.21,1584.2,13.98
4,4,Fond Foie,384.36,4045.15,13.95
4,4,Moyenne Fond,189.25666666666666,1613.5900000000001,13.973333333333334
