Itérations,Gaussien (mm),Contour,Déviation standard (BQML),Moyenne (BQML),Volume (ml)
4,4,T Foie,1298.22,6410.37,0.28
4,4,T Rachis,1026.24,3568.35,0.18
4,4,T1,1177.31,5515.88,0.18
4,4,T2,531.7,4574.39,0.09
4,4,T3,434.11,3241.24,0.07
4,4,T4,120.89,2319.13,0.03
5,0,Fond 1,761.92,1653.63,13.97
5,0,Fond 2,638.65,1608.16,13.97
5,0,Fond 3,616.06,1595.46,13.98
5,0,Fond Foie,1288.92,4042.21,13.95
5,0,Moyenne Fond,672.2099999999999,1619.0833333333333,13.973333333333334
5,0,T Foie,3191.85,7231.93,0.28
5,0,T Rachis,2032.06,4460.12,0.18
5,0,T1,3045.15,7131.55,0.18
5,0,T2,2355.24,6455.82,0.09
5,0,T3,1450.9,4239.57,0.07
5,0,T4,695.27,2649.74,0.03
5,2,Fond 1,500.53,1654.71,13.97
5,2,Fond 2,431.98,1605.46,13.97
5,2,Fond 3,410.6,1591.41,13.98
5,2,Fond Foie,886.81,4044.84,13.95
5,2,Moyenne Fond,447.7033333333334,1617.1933333333334,13.973333333333334
5,2,T Foie,2484.21,7042.4,0.28
5,2,T Rachis,1667.39,4257.1,0.18
5,2,T1,2306.52,6689.54,0.18
5,2,T2,1390.82,5910.95,0.09
5,2,T3,1058.66,3985.59,0.07
5,2,T4,426.0,2572.42,0.03
5,4,Fond 1,222.08,1654.7,13.97
5,4,Fond 2,206.72,1600.94,13.97
5,4,Fond 3,195.64,1585.77,13.98
5,4,Fond Foie,431.42,4050.61,13.95
5,4,Moyenne Fond,208.14666666666668,1613.8033333333333,13.973333333333334
5,4,T Foie,1393.74,6519.98,0.28
5,4,T Rachis,1067.43,3688.68,0.18
5,4,T1,1196.56,5534.02,0.18
5,4,T2,547.65,4626.1,0.09
5,4,T3,453.05,3277.44,0.07
5,4,T4,140.5,2316.97,0.03
6,0,Fond 1,870.57,1651.74,13.97
6,0,Fond 2,727.22,1610.47,13.97
6,0,Fond 3,704.7,1597.5,13.98
6,0,Fond Foie,1477.72,4044.73,13.95
6,0,Moyenne Fond,767.4966666666668,1619.9033333333334,13.973333333333334
6,0,T Foie,3459.71,7319.9,0.28
6,0,T Rachis,2134.43,4552.52,0.18
6,0,T1,3152.74,7138.21,0.18
6,0,T2,2554.13,6518.46,0.09
6,0,T3,1541.2,4261.39,0.07
6,0,T4,793.67,2631.36,0.03
6,2,Fond 1,560.86,1653.04,13.97
6,2,Fond 2,482.35,1607.48,13.97
6,2,Fond 3,460.09,1593.01,13.98
6,2,Fond Foie,997.63,4047.86,13.95
6,2,Moyenne Fond,501.09999999999997,1617.8433333333332,13.973333333333334
6,2,T Foie,2653.02,7124.31,0.28
6,2,T Rachis,1719.2,4340.15,0.18
6,2,T1,2357.82,6694.81,0.18
6,2,T2,1478.01,5959.42,0.09
6,2,T3,1110.93,4008.12,0.07
6,2,T4,475.77,2558.81,0.03
6,4,Fond 1,237.73,1653.17,13.97
6,4,Fond 2,221.75,1602.59,13.97
6,4,Fond 3,209.29,1586.7,13.98
6,4,Fond Foie,469.3,4054.43,13.95
6,4,Moyenne Fond,222.92333333333332,1614.1533333333334,13.973333333333334
6,4,T Foie,1456.32,6581.54,0.28
6,4,T Rachis,1086.23,3752.74,0.18
6,4,T1,1205.0,5536.08,0.18
6,4,T2,555.07,4650.69,0.09
6,4,T3,464.63,3292.58,0.07
6,4,T4,154.89,2307.24,0.03
