,Itération,Gaussien (mm),Tumeur,Concentration (Bq/mL),Volume (mL),Ecart concentration (Bq/mL),Ecart concentration carré (Bq/mL)^2,CNR Tumeur,CNR Tumeur volumique,SNR Tumeur
55,6,0,T1,7138.21,0.18,10861.79,117978482.00410002,7.190007339879868,39.94448522155482,9.300639742192146
56,6,0,T2,6518.46,0.09,11481.54,131825760.77160002,6.382511976164933,70.91679973516592,8.493144378477213
57,6,0,T3,4261.39,0.07,13738.61,188749404.7321,3.4416913862818075,49.16701980402582,5.552323788594087
58,6,0,T4,2631.36,0.03,15368.64,236195095.44959998,1.317864572701727,43.92881909005757,3.4284969750140064
59,6,0,T Foie,7319.9,0.28,10680.1,114064536.01,2.216367106082343,7.9155968074369385,4.9535094605202605
60,6,2,T Rachis,4340.15,0.18,13659.85,186591502.0225,5.432661478081553,30.18145265600863,8.66124526042706
61,6,2,T1,6694.81,0.18,11305.189999999999,127807320.93609998,10.131643717155592,56.28690953975329,13.3602274995011
62,6,2,T2,5959.42,0.09,12040.58,144975566.7364,8.664092330206879,96.26769255785422,11.892676112552385
63,6,2,T3,4008.12,0.07,13991.880000000001,195772705.93440002,4.770059203086543,68.14370290123632,7.99864298543205
64,6,2,T4,2558.81,0.03,15441.19,238430348.6161,1.877802168562496,62.59340561874987,5.1063859509080025
65,6,2,T Foie,7124.31,0.28,10875.689999999999,118280632.97609997,3.083758507663162,11.01342324165415,7.1412347263013345
66,6,4,T Rachis,3752.74,0.18,14247.26,202984417.5076,9.593372908473764,53.29651615818758,16.834218042077246
67,6,4,T1,5536.08,0.18,12463.92,155349301.7664,17.593163568939993,97.73979760522218,24.83400870254348
68,6,4,T2,4650.69,0.09,13349.310000000001,178204077.47610003,13.621439358822911,151.34932620914347,20.862284492426394
69,6,4,T3,3292.58,0.07,14707.42,216308203.0564,7.529165482901446,107.55950689859208,14.770010616504928
70,6,4,T4,2307.24,0.03,15692.76,246262716.4176,3.109080849918506,103.63602833061687,10.349925983521988
71,6,4,T Foie,6581.54,0.28,11418.46,130381228.77159998,5.384849776262519,19.23160634379471,14.024163647986363
