,Itération,Gaussien (mm),Tumeur,Concentration (Bq/mL),Volume (mL),Ecart concentration (Bq/mL),Ecart concentration carré (Bq/mL)^2,CNR Tumeur,CNR Tumeur volumique,SNR Fond
55,6,0,T1,11324.33,0.11,6675.67,44564569.9489,69.45132382892056,631.3756711720051,11.950353420390558
56,6,0,T2,8922.92,0.08,9077.08,82393381.3264,52.18948125074877,652.3685156343596,11.950353420390558
57,6,0,T3,7710.62,0.03,10289.380000000001,105871340.78440002,43.475212651251944,1449.1737550417315,11.950353420390558
58,6,0,T4,4692.16,0.02,13307.84,177098605.4656,21.777884269797532,1088.8942134898766,11.950353420390558
59,6,0,T Foie,9122.65,0.41,8877.35,78807343.02250001,15.250571824361325,37.19651664478372,11.950353420390558
60,6,2,T Rachis,8072.91,0.15,9927.09,98547115.8681,56.13213660245184,374.2142440163456,14.558844133099823
61,6,2,T1,10356.28,0.11,7643.719999999999,58426455.43839999,76.12661996497373,692.0601814997611,14.558844133099823
62,6,2,T2,8015.92,0.08,9984.08,99681853.4464,55.63309982486865,695.4137478108581,14.558844133099823
63,6,2,T3,6642.85,0.03,11357.15,128984856.12249999,43.60971978984239,1453.6573263280795,14.558844133099823
64,6,2,T4,3968.61,0.02,14031.39,196879905.33209997,20.192556917688268,1009.6278458844134,14.558844133099823
65,6,2,T Foie,8819.34,0.41,9180.66,84284518.03559999,17.567502181327836,42.84756629592155,14.558844133099823
66,6,4,T Rachis,6147.95,0.15,11852.05,140471089.2025,64.11636328981226,427.44242193208174,23.770084818450393
67,6,4,T1,7907.78,0.11,10092.220000000001,101852904.52840002,89.2735633279329,811.5778484357537,23.770084818450393
68,6,4,T2,5893.25,0.08,12106.75,146573395.5625,60.47536452873345,755.9420566091682,23.770084818450393
69,6,4,T3,4491.15,0.03,13508.85,182489028.32250002,40.432002287239115,1347.733409574637,23.770084818450393
70,6,4,T4,2569.83,0.02,15430.17,238090146.22890002,12.966263223101118,648.3131611550559,23.770084818450393
71,6,4,T Foie,7931.49,0.41,10068.51,101374893.6201,23.443855581318317,57.18013556419102,23.770084818450393
