,Itération,Gaussien (mm),Tumeur,Concentration (Bq/mL),Volume (mL),Ecart concentration (Bq/mL),Ecart concentration carré (Bq/mL)^2,CNR Tumeur,CNR Tumeur volumique,SNR Tumeur
0,3,0,T Rachis,4698.13,0.23,13301.869999999999,176939745.49689996,42.0636588380717,182.8854732090074,62.221393254458775
1,3,0,T1,6514.76,0.34,11485.24,131910737.85759999,66.12285890870564,194.47899679031067,86.28059332509272
2,3,0,T2,3734.27,0.25,14265.73,203511052.43289998,29.29842839484372,117.19371357937489,49.4561628112308
3,3,0,T3,3540.46,0.19,14459.54,209078297.01160002,26.73163517570193,140.69281671422067,46.889369592089004
4,3,0,T4,2708.16,0.06,15291.84,233840370.58560002,15.70876743775384,261.8127906292307,35.866501854140914
5,3,0,T Foie,7416.76,0.25,10583.24,112004968.8976,24.293928427824692,97.17571371129877,49.70352499664924
6,3,2,T Rachis,4443.73,0.23,13556.27,183772456.3129,45.53607979635304,197.98295563631757,69.25653280689905
7,3,2,T1,6175.9,0.34,11824.1,139809340.81,72.53233934230347,213.33040983030432,96.25279235284948
8,3,2,T2,3584.71,0.25,14415.29,207800585.78410003,32.148059639461785,128.59223855784714,55.86851265000779
9,3,2,T3,3355.8,0.19,14644.2,214452593.64000002,28.580445737440904,150.42339861811,52.300898747986906
10,3,2,T4,2599.61,0.06,15400.39,237172012.1521,16.79505428853447,279.9175714755745,40.51550729908047
11,3,2,T Foie,7183.75,0.25,10816.25,116991264.0625,26.91834629423901,107.67338517695605,57.0048405015077
12,3,4,T Rachis,3744.7,0.23,14255.3,203213578.08999997,51.803542297832664,225.23279259927244,87.26870193428105
13,3,4,T1,5214.24,0.34,12785.76,163475658.77760002,86.0505709624796,253.0899145955282,121.51573059892799
14,3,4,T2,3160.06,0.25,14839.94,220223819.20360002,38.17874621300396,152.71498485201585,73.64390584945235
15,3,4,T3,2865.87,0.19,15134.130000000001,229041890.85690004,31.32276858541132,164.85667676532273,66.78792822185972
16,3,4,T4,2323.27,0.06,15676.73,245759863.49289998,18.67769750640876,311.294958440146,54.142857142857146
17,3,4,T Foie,6523.5,0.25,11476.5,131710052.25,33.06945788964182,132.27783155856727,78.93877057115198
18,4,0,T Rachis,5490.15,0.23,12509.85,156496347.0225,42.09811894491196,183.03529976048677,58.236510854960756
19,4,0,T1,6927.82,0.34,11072.18,122593169.95240001,57.34813662400113,168.67099007059153,73.48652853404992
20,4,0,T2,3998.71,0.25,14001.29,196036121.66410002,26.27773849091295,105.1109539636518,42.41613040096175
21,4,0,T3,3848.79,0.19,14151.21,200256744.46409997,24.687469061593948,129.93404769259973,40.82586097164274
22,4,0,T4,2865.61,0.06,15134.39,229049760.67209998,14.258432925535677,237.64054875892796,30.396824835584475
23,4,0,T Foie,7972.97,0.25,10027.029999999999,100541330.62089998,22.33290611983339,89.33162447933356,42.57700523336538
24,4,2,T Rachis,5163.15,0.23,12836.85,164784717.9225,46.02915402763733,200.12675664190144,65.25720424671384
25,4,2,T1,6551.14,0.34,11448.86,131076395.29960002,63.57200033704078,186.97647157953168,82.80005055611728
26,4,2,T2,3825.39,0.25,14174.61,200919568.65210003,29.121166161105492,116.48466464442197,48.349216380182
27,4,2,T3,3626.39,0.19,14373.61,206600664.43210003,26.605999325918432,140.0315753995707,45.83404954499494
28,4,2,T4,2733.54,0.06,15266.46,233064800.93159997,15.321241995281426,255.35403325469045,34.54929221435793
29,4,2,T Foie,7691.32,0.25,10308.68,106268883.3424,24.963583999999997,99.85433599999999,49.224447999999995
30,4,4,T Rachis,4272.84,0.23,13727.16,188434921.6656,53.84346464909993,234.10202021347794,83.60631359248632
31,4,4,T1,5485.83,0.34,12514.17,156604450.7889,77.57794156013567,228.1704163533402,107.34079050352206
32,4,4,T2,3337.48,0.25,14662.52,214989492.7504,35.54135142186278,142.1654056874511,65.30420036524916
33,4,4,T3,3040.59,0.19,14959.41,223783947.5481,29.732128880772247,156.48488884616972,59.49497782415863
34,4,4,T4,2405.8,0.06,15594.2,243179073.64000002,17.311244456039663,288.5207409339944,47.07409339942605
35,4,4,T Foie,6899.11,0.25,11100.89,123229758.79209998,31.401838012522724,125.6073520500909,69.6739042617653
36,5,0,T Rachis,5989.78,0.23,12010.220000000001,144245384.44840002,40.03783896786524,174.07756072984887,53.66545215625373
37,5,0,T1,7149.76,0.34,10850.24,117727708.05759999,50.43068331143232,148.32553915127153,64.05829649982081
38,5,0,T2,4157.71,0.25,13842.29,191608992.44410002,23.623402221956752,94.49360888782701,37.25101541034524
39,5,0,T3,4062.18,0.19,13937.82,194262826.3524,22.767500895950302,119.82895208394896,36.395114084338786
40,5,0,T4,2974.06,0.06,15025.94,225778872.88360003,13.018486441285388,216.97477402142314,26.64609962967387
41,5,0,T Foie,8354.19,0.25,9645.81,93041650.5561,20.50730501236233,82.02922004944932,37.5553607552259
42,5,2,T Rachis,5613.43,0.23,12386.57,153427116.3649,44.15294709965117,191.96933521587465,60.56133347718201
43,5,2,T1,6750.84,0.34,11249.16,126543600.7056,56.42406588269141,165.95313494909237,72.83245226022225
44,5,2,T2,3969.03,0.25,14030.97,196868119.1409,26.412090480814186,105.64836192325674,42.820476858345025
45,5,2,T3,3811.56,0.19,14188.44,201311829.63360003,24.713201711799186,130.06948269367993,41.121588089330025
46,5,2,T4,2822.24,0.06,15177.76,230364398.6176,14.039774157586216,233.99623595977027,30.448160535117054
47,5,2,T Foie,8036.52,0.25,9963.48,99270933.71039999,23.112230450882162,92.44892180352865,43.76236114136354
48,5,4,T Rachis,4594.76,0.23,13405.24,179700459.4576,52.88479844027755,229.9339062620763,79.0428350249441
49,5,4,T1,5626.15,0.34,12373.85,153112163.82250002,70.62761626240037,207.72828312470693,96.78565284706691
50,5,4,T2,3440.58,0.25,14559.42,211976710.7364,33.02964619530937,132.11858478123747,59.18768277997592
51,5,4,T3,3154.07,0.19,14845.93,220401637.5649,28.100865875336893,147.8992940807205,54.25890246000345
52,5,4,T4,2453.0,0.06,15547.0,241709209.0,16.04048397270486,267.341399545081,42.19852055737141
53,5,4,T Foie,7147.86,0.25,10852.14,117768942.57959999,29.783249046224824,119.1329961848993,63.41815278147458
54,6,0,T Rachis,6304.05,0.23,11695.95,136795246.4025,37.409640752906824,162.6506119691601,49.30431722196152
55,6,0,T1,7284.02,0.34,10715.98,114832227.36039999,45.07403931383284,132.57070386421424,56.968715782887536
56,6,0,T2,4260.73,0.25,13739.27,188767540.1329,21.428724125345425,85.7148965013817,33.32340059440012
57,6,0,T3,4218.74,0.19,13781.26,189923127.18760002,21.100318056207307,111.05430555898583,32.994994525262
58,6,0,T4,3059.43,0.06,14940.57,223220631.9249,12.03329162104385,200.55486035073082,23.927968090098545
59,6,0,T Foie,8623.9,0.25,9376.1,87911251.21000001,18.896866074572554,75.58746429829021,33.74114793223522
60,6,2,T Rachis,5894.4,0.23,12105.6,146545551.36,41.57255560484127,180.75024176017942,56.02686775236043
61,6,2,T1,6870.55,0.34,11129.45,123864657.30250001,50.850960015208166,149.5616471035534,65.30527216272733
62,6,2,T2,4061.7,0.25,13938.3,194276206.89,24.15255687218808,96.61022748875232,38.60686901970724
63,6,2,T3,3946.47,0.19,14053.53,197501705.4609,23.057284075787337,121.35412671467019,37.511596223306505
64,6,2,T4,2890.17,0.06,15109.83,228306962.6289,13.017045814587165,216.95076357645277,27.47135796210633
65,6,2,T Foie,8279.09,0.25,9720.91,94496091.2281,21.45408016837272,85.81632067349088,39.60150196115948
66,6,4,T Rachis,4790.68,0.23,13209.32,174486134.8624,50.88004978478453,221.21760775993275,74.53217860291448
67,6,4,T1,5708.12,0.34,12291.880000000001,151090313.93440002,65.15334750816781,191.6274926710818,88.80547632629776
68,6,4,T2,3506.12,0.25,14493.880000000001,210072557.45440003,30.89519265674428,123.58077062697711,54.54732147487424
69,6,4,T3,3233.87,0.19,14766.130000000001,218038595.17690003,26.659596535808742,140.31366597794076,50.3117253539387
70,6,4,T4,2485.37,0.06,15514.630000000001,240703744.03690004,15.014624280454283,250.2437380075714,38.66675309858424
71,6,4,T Foie,7318.86,0.25,10681.14,114086751.69959998,28.266613226452904,113.06645290581162,58.66821643286573
