,Itération,Gaussien (mm),Tumeur,Concentration (Bq/mL),Volume (mL),Ecart concentration (Bq/mL),Ecart concentration carré (Bq/mL)^2,CNR Tumeur,CNR Tumeur volumique,SNR Tumeur
0,3,0,T Rachis,4203.71,0.18,13796.29,190337617.76410002,7.244506794672436,40.247259970402425,3.413266513420323
1,3,0,T1,5380.74,0.18,12619.26,159245722.9476,10.228661010073692,56.825894500409404,3.413266513420323
2,3,0,T2,4228.57,0.09,13771.43,189652284.24490002,7.307534987492393,81.19483319435993,3.413266513420323
3,3,0,T3,2873.28,0.07,15126.72,228817657.95839998,3.8714336420796434,55.30619488685204,3.413266513420323
4,3,0,T4,2159.95,0.03,15840.05,250907184.00249997,2.062909877628287,68.76366258760956,3.413266513420323
5,3,0,T Foie,6756.49,0.28,11243.51,126416517.1201,3.9954339054654,14.269406805233569,3.413266513420323
6,3,2,T Rachis,3982.73,0.18,14017.27,196483858.2529,9.597559643052268,53.319775794734824,4.9088326352212714
7,3,2,T1,5073.83,0.18,12926.17,167085870.8689,13.571699144053905,75.39832857807725,4.9088326352212714
8,3,2,T2,3948.93,0.09,14051.07,197432568.1449,9.47444909852486,105.27165665027621,4.9088326352212714
9,3,2,T3,2744.04,0.07,15255.96,232744315.52159998,5.0858495720269525,72.65499388609932,4.9088326352212714
10,3,2,T4,1882.38,0.03,16117.619999999999,259777674.46439996,1.9474048442906577,64.9134948096886,4.9088326352212714
11,3,2,T Foie,6544.42,0.28,11455.58,131230313.1364,5.31107665121982,18.96813089721364,4.9088326352212714
12,3,4,T Rachis,3340.76,0.18,14659.24,214893317.37759998,14.754244198976945,81.9680233276497,10.012306323671138
13,3,4,T1,4280.89,0.18,13719.11,188213979.19210002,21.72384906219883,120.68805034554906,10.012306323671138
14,3,4,T2,3297.55,0.09,14702.45,216162036.00250003,14.433909111127585,160.37676790141762,10.012306323671138
15,3,4,T3,2351.2,0.07,15648.8,244884941.43999997,7.4181926013789,105.97418001969857,10.012306323671138
16,3,4,T4,1324.71,0.03,16675.29,278065296.5841,-0.19163763066202022,-6.387921022067341,10.012306323671138
17,3,4,T Foie,5946.79,0.28,12053.21,145279871.30409998,8.12741366184511,29.02647736373253,10.012306323671138
18,4,0,T Rachis,4575.49,0.18,13424.51,180217468.7401,6.513933594511232,36.18851996950684,2.7100387734942513
19,4,0,T1,5493.71,0.18,12506.29,156407289.56410003,8.365021873089047,46.4723437393836,2.7100387734942513
20,4,0,T2,4345.9,0.09,13654.1,186434446.81,6.051090966515022,67.23434407238913,2.7100387734942513
21,4,0,T3,2959.28,0.07,15040.72,226223258.11839998,3.255730346139115,46.51043351627307,2.7100387734942513
22,4,0,T4,2398.37,0.03,15601.630000000001,243410858.65690002,2.1249622008829876,70.83207336276625,2.7100387734942513
23,4,0,T Foie,7051.35,0.28,10948.65,119872936.82249999,3.4585056630982307,12.351805939636536,2.7100387734942513
24,4,2,T Rachis,4322.61,0.18,13677.39,187070997.21209997,8.862869449572242,49.23816360873468,4.0074038786002095
25,4,2,T1,5180.34,0.18,12819.66,164343682.5156,11.416701403362513,63.42611890756952,4.0074038786002095
26,4,2,T2,4042.46,0.09,13957.54,194812922.85160002,8.028742134619584,89.20824594021761,4.0074038786002095
27,4,2,T3,2825.91,0.07,15174.09,230253007.3281,4.4065483634053875,62.95069090579124,4.0074038786002095
28,4,2,T4,2074.12,0.03,15925.880000000001,253633653.77440003,2.1681454574326606,72.27151524775536,4.0074038786002095
29,4,2,T Foie,6812.6,0.28,11187.4,125157918.75999999,4.709501546217996,16.81964837934998,4.0074038786002095
30,4,4,T Rachis,3593.76,0.18,14406.24,207539750.9376,14.35818158556868,79.76767547538155,8.630602584331953
31,4,4,T1,4368.91,0.18,13631.09,185806614.58810002,19.31670860164612,107.31504778692289,8.630602584331953
32,4,4,T2,3358.46,0.09,14641.54,214374693.57160002,12.853000127937223,142.81111253263583,8.630602584331953
33,4,4,T3,2414.85,0.07,15585.15,242896900.52249998,6.816857861742504,97.38368373917862,8.630602584331953
34,4,4,T4,1425.69,0.03,16574.31,274707751.9761,0.4893385645443302,16.31128548481101,8.630602584331953
35,4,4,T Foie,6141.85,0.28,11858.15,140615721.42249998,7.569961909296513,27.035578247487543,8.630602584331953
36,5,0,T Rachis,4575.49,0.18,13424.51,180217468.7401,6.513933594511232,36.18851996950684,2.7100387734942513
37,5,0,T1,5493.71,0.18,12506.29,156407289.56410003,8.365021873089047,46.4723437393836,2.7100387734942513
38,5,0,T2,4345.9,0.09,13654.1,186434446.81,6.051090966515022,67.23434407238913,2.7100387734942513
39,5,0,T3,2959.28,0.07,15040.72,226223258.11839998,3.255730346139115,46.51043351627307,2.7100387734942513
40,5,0,T4,2398.37,0.03,15601.630000000001,243410858.65690002,2.1249622008829876,70.83207336276625,2.7100387734942513
41,5,0,T Foie,7051.35,0.28,10948.65,119872936.82249999,3.4585056630982307,12.351805939636536,2.7100387734942513
42,5,2,T Rachis,4322.61,0.18,13677.39,187070997.21209997,8.862869449572242,49.23816360873468,4.0074038786002095
43,5,2,T1,5180.34,0.18,12819.66,164343682.5156,11.416701403362513,63.42611890756952,4.0074038786002095
44,5,2,T2,4042.46,0.09,13957.54,194812922.85160002,8.028742134619584,89.20824594021761,4.0074038786002095
45,5,2,T3,2825.91,0.07,15174.09,230253007.3281,4.4065483634053875,62.95069090579124,4.0074038786002095
46,5,2,T4,2074.12,0.03,15925.880000000001,253633653.77440003,2.1681454574326606,72.27151524775536,4.0074038786002095
47,5,2,T Foie,6812.6,0.28,11187.4,125157918.75999999,4.709501546217996,16.81964837934998,4.0074038786002095
48,5,4,T Rachis,3704.02,0.18,14295.98,204375044.16039997,13.697923734563709,76.09957630313171,7.8441734680030235
49,5,4,T1,4396.7,0.18,13603.3,185049770.89,17.726460267917723,98.48033482176513,7.8441734680030235
50,5,4,T2,3374.83,0.09,14625.17,213895597.5289,11.78339763100246,130.9266403444718,7.8441734680030235
51,5,4,T3,2436.38,0.07,15563.619999999999,242226267.50439996,6.325494833569199,90.36421190813141,7.8441734680030235
52,5,4,T4,1473.24,0.03,16526.76,273133796.0975999,0.7239982164666654,24.13327388222218,7.8441734680030235
53,5,4,T Foie,6242.13,0.28,11757.869999999999,138247506.9369,7.096335697399527,25.344056062141167,7.8441734680030235
54,6,0,T Rachis,4822.91,0.18,13177.09,173635700.86810002,5.270018123715817,29.27787846508787,2.0343593342184842
55,6,0,T1,5524.9,0.18,12475.1,155628120.01000002,6.333193661243015,35.18440922912786,2.0343593342184842
56,6,0,T2,4421.76,0.09,13578.24,184368601.4976,4.66246977277202,51.805219697466896,2.0343593342184842
57,6,0,T3,3007.62,0.07,14992.380000000001,224771458.06440002,2.520731208634764,36.01044583763949,2.0343593342184842
58,6,0,T4,2573.34,0.03,15426.66,237981838.7556,1.8630069213410543,62.100230711368475,2.0343593342184842
59,6,0,T Foie,7294.57,0.28,10705.43,114606231.48490001,2.709242661146469,9.675866646951674,2.0343593342184842
60,6,2,T Rachis,4545.87,0.18,13454.130000000001,181013614.05690002,7.473898864423533,41.521660357908516,3.1405966640981937
61,6,2,T1,5215.03,0.18,12784.970000000001,163455457.90090004,9.036371136588288,50.20206186993494,3.1405966640981937
62,6,2,T2,4090.94,0.09,13909.06,193461950.08359998,6.411648414940731,71.24053794378591,3.1405966640981937
63,6,2,T3,2870.39,0.07,15129.61,228905098.75210002,3.5616939469649207,50.88134209949886,3.1405966640981937
64,6,2,T4,2215.09,0.03,15784.91,249163383.7081,2.0315844366093048,67.71948122031016,3.1405966640981937
65,6,2,T Foie,7032.81,0.28,10967.189999999999,120279256.49609998,3.8419630746466082,13.721296695166457,3.1405966640981937
66,6,4,T Rachis,3753.72,0.18,14246.28,202956493.8384,13.126055159365446,72.92252866314136,7.360700771357879
67,6,4,T1,4405.15,0.18,13594.85,184819946.5225,16.68137825644011,92.67432364688949,7.360700771357879
68,6,4,T2,3378.79,0.09,14621.21,213779781.86409998,11.079791878911365,123.10879865457073,7.360700771357879
